Date,Open,High,Low,Close,Volume,Company
17-02-2020,96.66999817,98.20999908,96.15000153,98.12000275,44863200,APPLE
18-02-2020,98.83999634,98.88999939,96.08999634,96.26000214,39021000,APPLE
19-02-2020,96,96.76000214,95.80000305,96.04000092,35374200,APPLE
22-02-2020,96.30999756,96.90000153,95.91999817,96.87999725,34280800,APPLE
23-02-2020,96.40000153,96.5,94.55000305,94.69000244,31942600,APPLE
24-02-2020,93.98000336,96.37999725,93.31999969,96.09999847,36255700,APPLE
25-02-2020,96.05000305,96.76000214,95.25,96.76000214,27582700,APPLE
26-02-2020,97.19999695,98.01999664,96.58000183,96.91000366,28991100,APPLE
29-02-2020,96.86000061,98.23000336,96.65000153,96.69000244,35216300,APPLE
01-03-2020,97.65000153,100.7699966,97.41999817,100.5299988,50407100,APPLE
02-03-2020,100.5100021,100.8899994,99.63999939,100.75,33169600,APPLE
03-03-2020,100.5800018,101.7099991,100.4499969,101.5,36955700,APPLE
04-03-2020,102.3700027,103.75,101.3700027,103.0100021,46055100,APPLE
07-03-2020,102.3899994,102.8300018,100.9599991,101.8700027,35828900,APPLE
08-03-2020,100.7799988,101.7600021,100.4000015,101.0299988,31561900,APPLE
09-03-2020,101.3099976,101.5800018,100.2699966,101.1200027,27201700,APPLE
10-03-2020,101.4100037,102.2399979,100.1500015,101.1699982,33513600,APPLE
11-03-2020,102.2399979,102.2799988,101.5,102.2600021,27408200,APPLE
14-03-2020,101.9100037,102.9100037,101.7799988,102.5199966,25076100,APPLE
15-03-2020,103.9599991,105.1800003,103.8499985,104.5800018,40067700,APPLE
16-03-2020,104.6100006,106.3099976,104.5899963,105.9700012,38303500,APPLE
17-03-2020,105.5199966,106.4700012,104.9599991,105.8000031,34420700,APPLE
18-03-2020,106.3399963,106.5,105.1900024,105.9199982,44205200,APPLE
21-03-2020,105.9300003,107.6500015,105.1399994,105.9100037,35502700,APPLE
22-03-2020,105.25,107.2900009,105.2099991,106.7200012,32444400,APPLE
23-03-2020,106.4800034,107.0699997,105.9000015,106.1299973,25703500,APPLE
24-03-2020,105.4700012,106.25,104.8899994,105.6699982,26133000,APPLE
28-03-2020,106,106.1900024,105.0599976,105.1900024,19411400,APPLE
29-03-2020,104.8899994,107.7900009,104.8799973,107.6800003,31190100,APPLE
30-03-2020,108.6500015,110.4199982,108.5999985,109.5599976,45601100,APPLE
31-03-2020,109.7200012,109.9000015,108.8799973,108.9899979,25888400,APPLE
01-04-2020,108.7799988,110,108.1999969,109.9899979,25874000,APPLE
04-04-2020,110.4199982,112.1900024,110.2699966,111.1200027,37356200,APPLE
05-04-2020,109.5100021,110.7300034,109.4199982,109.8099976,26578700,APPLE
06-04-2020,110.2300034,110.9800034,109.1999969,110.9599991,26404100,APPLE
07-04-2020,109.9499969,110.4199982,108.1200027,108.5400009,31801900,APPLE
